App,Category,Description,Auth Method,Credential Requirement,Self Serve,API Type,API Surface,MCP,Buildability,Blocker,Evidence URL,Confidence,Needs Review,Issues,confidence,manual_review
Zendesk,Support and Helpdesk,Zendesk is a customer service and support platform that helps businesses manage customer interactions and issues.,"OAuth 2.0, API token, OAuth access token","API token, OAuth access token, Global OAuth tokens",Self Serve,REST,Large,Unknown,Yes,,"https://developer.zendesk.com/api-reference/introduction/security-and-auth/, https://developer.zendesk.com/api-reference/, https://developer.zendesk.com/documentation/",82,True,"['credential_requirement must be one of: API key, API token, Access token, Developer account + Connected App + OAuth, Internal Integration Token, OAuth credentials, Personal access token, Programmatic API Key, Secret API Key, Service Account Key, Unknown']",0,False
Intercom,Support and Helpdesk,Intercom is a customer messaging platform that helps businesses communicate with their customers.,"OAuth 2.0, API token","API token, Access token",Self Serve,REST,Unknown,Unknown,Yes,,"https://developers.intercom.com/docs/build-an-integration/learn-more/authentication, https://developers.intercom.com/docs, https://developers.intercom.com/docs/build-an-integration/learn-more/rest-apis",69,True,"['credential_requirement must be one of: API key, API token, Access token, Developer account + Connected App + OAuth, Internal Integration Token, OAuth credentials, Personal access token, Programmatic API Key, Secret API Key, Service Account Key, Unknown']",0,False
Freshdesk,Support and Helpdesk,Freshdesk is a cloud-based helpdesk software that enables businesses to manage customer support and service requests.,OAuth 2.0,OAuth credentials,Self Serve,REST,Small,Unknown,Yes,,"https://developers.freshdesk.com/api/, https://developer.freshdesk.com/api/v1, https://community.freshworks.dev/t/how-to-use-oauth-authentication-mechanism-for-freshdesk-api/1691",87,False,[],0,False
Front,Support and Helpdesk,Frontegg is a comprehensive customer identity and access management platform for businesses.,OAuth 2.0,API token,Unknown,REST,Unknown,Unknown,Unknown,,"https://developers.frontegg.com/ciam/api/overview, https://dev.frontapp.com/reference/introduction",48,False,[],0,False
Pylon,Support and Helpdesk,Pylon is a support and helpdesk software that manages customer issues and provides ticketing functionality.,API token,API token,Admin Approval,REST,Unknown,Unknown,Unknown,,"https://docs.usepylon.com/pylon-docs/developer/api, https://ja.docs.baslerweb.com/pylonapi/, https://developer.act-on.com/reference/api-overview",61,False,[],0,False
LiveAgent,Support and Helpdesk,LiveAgent is a comprehensive support and helpdesk software for managing customer inquiries and issues.,API key,API key,Self Serve,REST,Unknown,Unknown,Yes,,"https://github.com/QualityUnit/LiveAgent-api-python/blob/master/docs/UserApi.md, https://github.com/QualityUnit/LiveAgent-api-python/blob/master/docs/TokenApi.md",74,False,[],0,False
Plain,Support and Helpdesk,Plane is a support and helpdesk software that streamlines ticket management and customer service operations.,API key,API key,Unknown,REST,Unknown,Unknown,Yes,,"https://developers.plane.so/api-reference/introduction, https://developer.visa.com/pages/working-with-visa-apis/visa-developer-quick-start-guide, https://developer.okta.com/docs/reference/api/authn/",61,False,[],0,False
Help Scout,Support and Helpdesk,Help Scout is a customer support platform that helps teams manage and resolve customer inquiries efficiently.,"OAuth 2.0, API key, Bearer token, Basic auth","OAuth credentials, API key, Access token",Self Serve,REST,Medium,Unknown,Yes,,"https://developer.helpscout.com/docs-api/, https://developer.helpscout.com/mailbox-api/overview/authentication, https://developer.helpscout.com/",82,True,"['credential_requirement must be one of: API key, API token, Access token, Developer account + Connected App + OAuth, Internal Integration Token, OAuth credentials, Personal access token, Programmatic API Key, Secret API Key, Service Account Key, Unknown']",0,False
Gorgias,Support and Helpdesk,Gorgias is a helpdesk software that enables businesses to manage customer support and tickets efficiently.,Basic auth,API key,Admin Approval,REST,Small,Unknown,Yes,,"https://docs.gorgias.com/en-US/rest-api-208286, https://developers.gorgias.com/, https://developers.gorgias.com/docs/create-a-ticket-using-api",87,False,[],0,False
Gladly,Support and Helpdesk,Gladly is a customer service platform that helps businesses manage and improve customer interactions.,API token,API token,Paid Plan,REST,Medium,Unknown,Yes,,"https://developer.gladly.com/rest/, https://developer.gladly.com/, https://developer.availity.com/partner/gettingstarted",87,False,[],0,False
Slack,Communications and Messaging,"Welcome to the Slack API docs, the place where ideas turn into interactive apps, workflows get automated, and Slack becomes the platform that powers your workday.",OAuth 2.0,OAuth credentials,Self Serve,REST,Medium,Unknown,Yes,,"https://docs.slack.dev/, https://api.slack.com/authentication/basics, https://docs.slack.dev/apis/web-api/",87,False,[],0,False
Twilio,Communications and Messaging,"Build better and engage your customers across all channels with our API reference documentation, quickstarts, SDKs and multi-language code samples.",OAuth 2.0,API key,Self Serve,REST,Medium,Unknown,Yes,,"https://www.twilio.com/docs, https://www.twilio.com/docs/iam/api, https://www.twilio.com/docs/messaging/api",87,False,[],0,False
Zoho Cliq,Communications and Messaging,Zoho Cliq is a team collaboration platform that enables users to communicate and collaborate in real-time.,OAuth 2.0,OAuth credentials,Self Serve,REST,Unknown,Unknown,Yes,,"https://www.zoho.com/cliq/help/platform/getting-started-with-cliq-platform.html, https://www.zoho.com/cliq/help/restapi/v3/introduction/, https://www.zoho.com/cliq/help/restapi/v2/registerclient/",74,False,[],0,False
Lark (Larksuite),Communications and Messaging,"An open, swift, and accessible way to reshape workplace experiences",OAuth 2.0,OAuth credentials,Self Serve,REST,Medium,Yes,Yes,,"https://open.larksuite.com/, https://open.larksuite.com/document, https://open.larksuite.com/document/uAjLw4CM/uYjL24iN/mobile-app/mobile-app-overview",95,False,[],0,False
Pumble,Communications and Messaging,Pumble is a communication and messaging platform for teams to collaborate and share information securely.,API token,API token,Self Serve,REST,Unknown,Unknown,Yes,,https://dev-docs.marketplace.cake.com/pumble/build/api-client.html,74,False,[],0,False
Discord,Communications and Messaging,"Discord is a communication platform designed for communities, including social features, messaging, and voice chat.",OAuth 2.0,OAuth credentials,Self Serve,REST,Medium,Unknown,Yes,,"https://docs.discord.com/developers/reference, https://docs.discord.com/developers/intro, https://docs.discord.com/developers/events/gateway",87,False,[],0,False
Telegram,Communications and Messaging,Telegram is a messaging app with a focus on security and speed.,OAuth 2.0,API token,Self Serve,REST,Medium,Unknown,Yes,,"https://core.telegram.org/api/auth, https://core.telegram.org/, https://core.telegram.org/gateway/verification-tutorial",87,False,[],0,False
WhatsApp Business,Communications and Messaging,The WhatsApp Business Platform enables businesses to communicate with customers at scale.,OAuth 2.0,Developer account + Connected App + OAuth,Self Serve,REST,Large,Unknown,Yes,,"https://developers.facebook.com/documentation/business-messaging/whatsapp/get-started, https://developers.facebook.com/documentation/business-messaging/whatsapp/about-the-platform",87,False,[],0,False
Aircall,Communications and Messaging,"Seamlessly integrate with Aircall using our powerful APIs, and deliver the best phone experience to your team and your customers.",Basic auth,API key,Self Serve,REST,Medium,Unknown,Yes,,"https://developer.aircall.io/api-references, https://developer.aircall.io/tutorials/basic-authentication/, https://developer.aircall.io/",87,False,[],0,False
Vonage,Communications and Messaging,"Vonage is a cloud communications platform that enables businesses to connect with their customers through voice, video, and messaging APIs.","API key, API token, Basic auth, JWT Bearer","API key, API token, OAuth credentials",Self Serve,REST,Medium,Unknown,Yes,,"https://developer.vonage.com/en/home, https://developer.vonage.com/en/documentation, https://developer.vonage.com/en/verify/concepts/authentication",82,True,"['credential_requirement must be one of: API key, API token, Access token, Developer account + Connected App + OAuth, Internal Integration Token, OAuth credentials, Personal access token, Programmatic API Key, Secret API Key, Service Account Key, Unknown']",0,False
Google Ads,"Marketing, Ads, Email and Social","Google Ads is a platform for creating, managing, and optimizing online advertising campaigns.",OAuth 2.0,Developer account + Connected App + OAuth,Self Serve,REST,Unknown,Unknown,Yes,,"https://developers.google.com/google-ads/api/docs/get-started/introduction, https://developers.google.com/google-ads/api, https://developers.google.com/google-ads/api/docs/get-started/make-first-call",74,False,[],0,False
Meta Ads,"Marketing, Ads, Email and Social",Meta Ads enables businesses to manage and optimize their advertising campaigns across various platforms.,OAuth 2.0,Developer account + Connected App + OAuth,Self Serve,REST,Medium,Unknown,Yes,,"https://developers.facebook.com/documentation/ads-commerce/marketing-api/get-started, https://developers.facebook.com/documentation/ads-commerce/marketing-api/get-started/authorization, https://developers.facebook.com/documentation/ads-commerce/marketing-api/get-started/authorization",87,False,[],0,False
LinkedIn Ads,"Marketing, Ads, Email and Social",Manage LinkedIn Ads campaigns and ad groups.,OAuth 2.0,OAuth credentials,Self Serve,REST,Medium,Unknown,Yes,,"https://developer.linkedin.com/product-catalog/marketing/advertising-api, https://developer.linkedin.com/, https://developer.linkedin.com/product-catalog/marketing",87,False,[],0,False
GoHighLevel,"Marketing, Ads, Email and Social","Comprehensive API platform for building integrations, automations, and custom applications with the HighLevel CRM and Marketplace.",OAuth 2.0,API key,Self Serve,REST,Very Large,Unknown,Yes,,"https://marketplace.gohighlevel.com/docs/, https://help.gohighlevel.com/support/solutions/articles/48001060529-highlevel-api-documentation, https://marketplace.gohighlevel.com/docs/oauth/GettingStarted/",87,False,[],0,False
Mailchimp,"Marketing, Ads, Email and Social",Mailchimp Marketing API provides programmatic access to Mailchimp data and functionality.,API key,API key,Paid Plan,REST,Medium,Unknown,Yes,,"https://mailchimp.com/developer/marketing/guides/quick-start/, https://mailchimp.com/developer/marketing/docs/fundamentals/, https://mailchimp.com/developer/transactional/guides/quick-start/",87,False,[],0,False
Klaviyo,"Marketing, Ads, Email and Social",Build personalized experiences that scale.,"OAuth 2.0, API key, API token, Bearer token, Basic auth, Personal access token",Developer account + Connected App + OAuth,Self Serve,Unknown,Unknown,Unknown,Yes,,"https://developers.klaviyo.com/en/reference/api_overview, https://developers.klaviyo.com/en/docs/authenticate_, https://developers.klaviyo.com/",64,True,"['credential_requirement must be one of: API key, API token, Access token, Developer account + Connected App + OAuth, Internal Integration Token, OAuth credentials, Personal access token, Programmatic API Key, Secret API Key, Service Account Key, Unknown', 'api_type must be one of: GraphQL, REST, SDK, SOAP, Unknown']",0,False
systeme.io,"Marketing, Ads, Email and Social",Funnel builder and marketing platform,API key,Public API key,Self Serve,REST,Small,Unknown,Yes,,"https://help.systeme.io/article/2329-how-to-use-systeme-io-public-api, https://www.facebook.com/groups/251145835476950/posts/864536514137876/, https://help.systeme.io/article/2323-how-to-create-a-public-api-key-on-systeme-io",82,True,"['credential_requirement must be one of: API key, API token, Access token, Developer account + Connected App + OAuth, Internal Integration Token, OAuth credentials, Personal access token, Programmatic API Key, Secret API Key, Service Account Key, Unknown']",0,False
Pinterest,"Marketing, Ads, Email and Social","Pinterest is a social media platform for discovering and saving visual content, connecting with others.",OAuth 2.0,Developer account + Connected App + OAuth,Self Serve,REST,Medium,Unknown,Yes,,"https://developers.pinterest.com/docs/api/v5/, https://developers.pinterest.com/docs/getting-started/set-up-authentication-and-authorization/, https://developers.pinterest.com/docs/getting-started/connect-app/",87,False,[],0,False
Threads (Meta),"Marketing, Ads, Email and Social","Use the Threads API to create and publish posts, retrieve media and profiles, moderate replies, and access insights.",OAuth 2.0,Developer account + Connected App + OAuth,Self Serve,REST,Medium,Unknown,Yes,,https://developers.facebook.com/documentation/threads,87,False,[],0,False
SendGrid,"Marketing, Ads, Email and Social","SendGrid is a cloud-based email marketing platform for sending, managing, and tracking email campaigns.",API token,API token,Self Serve,REST,Unknown,Unknown,Yes,,https://docs.matillion.com/metl/docs/0964835/,74,False,[],0,False
Shopify,Ecommerce,Shopify is an e-commerce platform that enables businesses to create and manage online stores.,OAuth 2.0,OAuth credentials,Self Serve,REST,Unknown,Unknown,Yes,,"https://shopify.dev/docs/api/usage/authentication, https://shopify.dev/docs/apps/build/authentication-authorization",74,False,[],0,False
WooCommerce,Ecommerce,WooCommerce is an e-commerce plugin for WordPress that enables online store creation and management.,API key,Secret API Key,Self Serve,REST,Small,Unknown,Yes,,"https://developer.woocommerce.com/docs/apis/rest-api/, https://developer.woocommerce.com/docs/apis/rest-api/authentication/, https://developer.woocommerce.com/docs/apis/",87,False,[],0,False
BigCommerce,Ecommerce,BigCommerce is an ecommerce platform that enables businesses to create and manage online stores.,OAuth 2.0,OAuth credentials,Self Serve,REST,Medium,Unknown,Yes,,"https://docs.bigcommerce.com/, https://docs.bigcommerce.com/developer/docs/overview/api-fundamentals/api-accounts, https://docs.bigcommerce.com/developer/api-reference/about-our-apis",87,False,[],0,False
Salesforce Commerce Cloud,Ecommerce,Salesforce Commerce Cloud,OAuth 2.0,Developer account + Connected App + OAuth,Paid Plan,REST,Unknown,Unknown,Yes,,"https://developer.salesforce.com/docs/commerce/commerce-api/guide/get-started.html, https://developer.salesforce.com/developer-centers/commerce-cloud, https://developer.salesforce.com/docs/commerce/commerce-api/references/auth",74,False,[],0,False
Magento (Adobe Commerce),Ecommerce,The Adobe Commerce and Magento Open Source web API framework provides integrators and developers the means to use web services that communicate with the application.,"OAuth 1.0a, tokens, login credentials","OAuth 1.0a, tokens, login credentials",Unknown,Unknown,Unknown,Unknown,Yes,,"https://developer.adobe.com/commerce/webapi/get-started/, https://developer.adobe.com/commerce/webapi/, https://developer.adobe.com/commerce/webapi/get-started/authentication/",51,True,"['credential_requirement must be one of: API key, API token, Access token, Developer account + Connected App + OAuth, Internal Integration Token, OAuth credentials, Personal access token, Programmatic API Key, Secret API Key, Service Account Key, Unknown', 'api_type must be one of: GraphQL, REST, SDK, SOAP, Unknown']",0,False
Squarespace,Ecommerce,Squarespace Commerce APIs allow developers to build applications to manage commerce features of a Squarespace merchant site.,API key or OAuth access token,API key or OAuth access token,Paid Plan,REST,Medium,Unknown,Yes,,"https://developers.squarespace.com/commerce-apis/overview, https://developers.squarespace.com/commerce-apis/authentication-and-permissions, https://developers.squarespace.com/commerce-apis/orders-overview",82,True,"['credential_requirement must be one of: API key, API token, Access token, Developer account + Connected App + OAuth, Internal Integration Token, OAuth credentials, Personal access token, Programmatic API Key, Secret API Key, Service Account Key, Unknown']",0,False
Ecwid,Ecommerce,Ecwid is an e-commerce platform that enables merchants to create and manage online stores with customizable features.,OAuth 2.0,OAuth credentials,Self Serve,REST,Medium,Unknown,Yes,,"https://docs.ecwid.com/api-reference, https://developers.ecwid.com/, https://docs.ecwid.com/get-started/api-glossary",87,False,[],0,False
Gumroad,Ecommerce,Gumroad is an online platform for creators to sell digital products and earn money easily.,OAuth 2.0,API token,Self Serve,REST,Small,Unknown,Yes,,"https://gumroad.com/help/article/280-create-application-api.html, https://nocodeapi.com/marketplace/gumroad/, https://docs.n8n.io/integrations/builtin/credentials/gumroad",87,False,[],0,False
Amazon Selling Partner,Ecommerce,"Amazon Selling Partner API (SP-API) is a REST-based API that helps Amazon selling partners programmatically access their data on orders, shipments, payments, and much more.",OAuth 2.0,Developer account + Connected App + OAuth,Self Serve,REST,Medium,Unknown,Yes,,"https://developer.amazonservices.com/, https://developer.amazon.com/docs/app-submission-api/auth.html, https://developer.amazonservices.com/start",87,False,[],0,False
fanbasis,Ecommerce,The Commas API lets you build custom integrations with your Commas account.,API key,API key,Paid Plan,REST,Medium,Unknown,Yes,,"https://dev-docs.fanbasis.com/, https://apidocs.fan/, https://docs.fortispay.com/developers/quick-start",87,False,[],0,False
DataForSEO,"Data, SEO and Scraping","DataForSEO provides comprehensive data and tools for SEO research, analysis, and optimization.",Basic auth,API token,Self Serve,REST,Unknown,Unknown,Yes,,https://docs.dataforseo.com/v3/auth/,74,False,[],0,False
SE Ranking,"Data, SEO and Scraping",SE Ranking API provides access to SEO and keyword data for automating workflows and bulk processes.,API key,API key,Self Serve,REST,Large,Yes,Yes,,"https://seranking.com/api.html, https://seranking.com/api/data/reference/",95,False,[],0,False
Ahrefs,"Data, SEO and Scraping",Ahrefs API allows you to use data from your Ahrefs workspace to create custom integrations and automations.,API key,Secret API Key,Paid Plan,REST,Medium,Unknown,Yes,,"https://docs.ahrefs.com/, https://docs.ahrefs.com/en/api/docs/introduction, https://docs.ahrefs.com/en/api/docs/api-keys-creation-and-management",87,False,[],0,False
MrScraper,"Data, SEO and Scraping",MrScraper is an all-in-one scraping platform designed to automate and simplify data extraction.,API token,API token,Self Serve,REST,Large,Unknown,Yes,,"https://docs.mrscraper.com/docs/api/authentication, https://docs.mrscraper.com/docs/getting-started/overview, https://docs.mistral.ai/",87,False,[],0,False
Apify,"Data, SEO and Scraping",The Apify API provides programmatic access to the Apify platform.,API token,API token,Self Serve,REST,Large,Unknown,Yes,,"https://docs.apify.com/api/v2, https://docs.apify.com/api, https://docs.apify.com/api/v2/getting-started",87,False,[],0,False
Firecrawl,"Data, SEO and Scraping",The Firecrawl API gives you programmatic access to web data.,Bearer token,API key,Self Serve,REST,Very Large,Unknown,Yes,,"https://docs.firecrawl.dev/api-reference/introduction, https://docs.firecrawl.dev/api-reference/v2-introduction, https://www.firecrawl.dev/",87,False,[],0,False
Sherlock,"Data, SEO and Scraping","Sherlock utilizes gRPC- a high performance, open-source, universal RPC (Remote Procedure Call) framework.",API key,API key,Admin Approval,Unknown,Unknown,Unknown,Yes,,"https://developer.ansys.com/docs/sherlock-apis-2025-r1/index.md, https://docs.sherlock.cloudferro.com/category/documentation/, https://docs.redhat.com/en/documentation/red_hat_3scale_api_management/2.15/html/creating_the_developer_portal/authentication",69,True,"['api_type must be one of: GraphQL, REST, SDK, SOAP, Unknown']",0,False
Waterfall.io,"Data, SEO and Scraping",Waterfall.io is a data and SEO tool that helps users find and enrich contact information.,API key,API key,Self Serve,REST,Medium,Unknown,Yes,,"https://docs.waterfall.io/v1/introduction, https://developer.meltwater.com/api-reference/api-reference-overview/, https://docs.waterfall.io/v1/authentication",87,False,[],0,False
Clay,"Data, SEO and Scraping","Clay is a software product that helps with data, SEO, and scraping tasks.",OAuth 2.0,OAuth credentials,Enterprise,REST,Unknown,Unknown,Unknown,,"https://docs.cloud.google.com/docs/authentication/api-keys, https://developer.ironcladapp.com/reference/authentication-api",61,False,[],0,False
GitHub,"Developer, Infra and Data platforms",GitHub REST API,"OAuth 2.0, API token, Bearer token, Personal access token",Personal access token,Self Serve,REST,Medium,Unknown,Yes,,"https://docs.github.com/en/rest/authentication/authenticating-to-the-rest-api, https://docs.github.com/rest/guides/getting-started-with-the-rest-api, https://docs.github.com/en/rest",82,True,"['credential_requirement must be one of: API key, API token, Access token, Developer account + Connected App + OAuth, Internal Integration Token, OAuth credentials, Personal access token, Programmatic API Key, Secret API Key, Service Account Key, Unknown']",0,False
Vercel,"Developer, Infra and Data platforms","Vercel is a platform for building, deploying, and managing fast, secure, and scalable web applications.",Bearer token,Access token,Self Serve,REST,Medium,Unknown,Yes,,"https://vercel.com/kb/guide/complete-guide-authentication-vercel, https://vercel.com/docs/rest-api, https://vercel.com/docs/connect/concepts/authentication",87,False,[],0,False
Netlify,"Developer, Infra and Data platforms","Netlify is a platform for building, deploying, and managing modern web applications.",API key,API key,Self Serve,REST,Medium,Unknown,Yes,,"https://docs.netlify.com/api-and-cli-guides/api-guides/get-started-with-api/, https://docs.netlify.com/api-and-cli-guides/cli-guides/get-started-with-cli/, https://developers.netlify.com/videos/create-new-site-using-netlify-api/",87,False,[],0,False
Cloudflare,"Developer, Infra and Data platforms",Cloudflare is a global network platform that secures and accelerates online applications and websites.,API token,API token,Self Serve,REST,Medium,Unknown,Yes,,"https://developers.cloudflare.com/fundamentals/api/get-started/create-token/, https://developers.cloudflare.com/fundamentals/api/get-started/, https://developers.cloudflare.com/",87,False,[],0,False
Supabase,"Developer, Infra and Data platforms",Supabase Auth makes it easy to implement authentication and authorization in your app.,Bearer token,API key,Self Serve,REST,Medium,Unknown,Yes,,"https://supabase.com/docs/guides/auth, https://supabase.com/docs/guides/getting-started, https://supabase.com/docs/guides/getting-started/api-keys",87,False,[],0,False
Neo4j,"Developer, Infra and Data platforms",Neo4j is a graph database management system for storing and querying complex relationships.,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,https://neo4j.com/docs/reference/,0,False,[],0,False
Snowflake,"Developer, Infra and Data platforms",The Snowflake SQL API is a REST API that you can use to access and update data in a Snowflake database.,"OAuth 2.0, API key, API token, Bearer token, Basic auth, Personal access token",Personal access token,Self Serve,REST,Medium,Unknown,Yes,,"https://docs.snowflake.com/en/developer-guide/sql-api/index, https://docs.snowflake.com/en/developer-guide/snowflake-rest-api/getting-started, https://docs.snowflake.com/en/developer-guide/snowflake-rest-api/authentication",82,True,"['credential_requirement must be one of: API key, API token, Access token, Developer account + Connected App + OAuth, Internal Integration Token, OAuth credentials, Personal access token, Programmatic API Key, Secret API Key, Service Account Key, Unknown']",0,False
MongoDB Atlas,"Developer, Infra and Data platforms",MongoDB Atlas is a cloud-based database service that provides scalable and secure data storage solutions.,API key,API key,Self Serve,REST,Very Large,Unknown,Yes,,"https://docs.prowler.com/user-guide/providers/mongodbatlas/authentication, https://docs.atlan.com/apps/connectors/database/mongodb/how-tos/set-up-mongodb",87,False,[],0,False
Datadog,"Developer, Infra and Data platforms",Datadog is a monitoring and analytics platform that provides real-time insights into application performance and infrastructure.,API key,API key,Self Serve,REST,Unknown,Unknown,Yes,,"https://docs.datadoghq.com/api/latest/, https://docs.datadoghq.com/getting_started/, https://docs.datadoghq.com/account_management/api-app-keys/",74,False,[],0,False
Sentry,"Developer, Infra and Data platforms",The Sentry web API is used to access the Sentry platform programmatically.,API key,API key,Self Serve,REST,Unknown,Unknown,Yes,,"https://docs.sentry.io/api/, https://develop.sentry.dev/sdk/foundations/, https://develop.sentry.dev/getting-started/",74,False,[],0,False
Notion,Productivity and Project Management,Notion is a productivity and project management tool that helps users organize and collaborate on content.,Personal access token,Personal access token,Self Serve,REST,Unknown,Unknown,Yes,,"https://developers.notion.com/guides/get-started/overview, https://developers.notion.com/guides/get-started/quick-start, https://developers.notion.com/guides/get-started/authorization",74,False,[],0,False
Airtable,Productivity and Project Management,Airtable is a cloud-based database that allows users to create custom databases and applications.,Personal access token,Personal access token,Self Serve,REST,Small,Unknown,Yes,,"https://docs.bravostudio.app/connect-api/browse-by-backend/airtable/update-airtable-access-token, https://nocodeapi.com/marketplace/airtable/",87,False,[],0,False
Linear,Productivity and Project Management,Linear is a productivity and project management tool for teams to organize and track tasks and workflows.,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,https://developer.directly.com/,9,False,[],0,False
Jira,Productivity and Project Management,Jira is a project management and productivity tool for teams to track and manage work and collaborate effectively.,API token,API token,Self Serve,REST,Unknown,Unknown,Yes,,"https://developer.atlassian.com/server/jira/platform/rest/v11002/, https://developer.atlassian.com/cloud/jira/software/basic-auth-for-rest-apis/, https://developer.atlassian.com/server/jira/platform/getting-started/",74,False,[],0,False
Asana,Productivity and Project Management,Asana is a productivity and project management tool that helps teams stay organized and efficient.,Personal access token,Personal access token,Self Serve,REST,Medium,Unknown,Yes,,"https://developers.asana.com/docs/authentication, https://developers.asana.com/docs/quick-start, https://developers.asana.com/docs/api-explorer",87,False,[],0,False
Monday.com,Productivity and Project Management,"monday.com is a work OS where teams create and shape their own workflows in minutes, code-free.",API token,Personal access token,Self Serve,GraphQL,Very Large,Unknown,Yes,,"https://developer.monday.com/api-reference/docs/authentication, https://developer.monday.com/api-reference/docs/basics, https://developer.monday.com/api-reference/",87,False,[],0,False
ClickUp,Productivity and Project Management,ClickUp is a productivity and project management software for teams to organize and collaborate on tasks.,"API key, OAuth 2.0, API token, Personal access token",Personal access token,Self Serve,REST,Small,Yes,Yes,,"https://developer.clickup.com/, https://developer.clickup.com/docs/Getting%20Started, https://developer.clickup.com/docs/authentication",90,True,"['credential_requirement must be one of: API key, API token, Access token, Developer account + Connected App + OAuth, Internal Integration Token, OAuth credentials, Personal access token, Programmatic API Key, Secret API Key, Service Account Key, Unknown']",0,False
Coda,Productivity and Project Management,Coda is a productivity and project management tool for organizing and collaborating on documents and workflows.,API token,API token,Self Serve,REST,Unknown,Unknown,Yes,,https://docs.n8n.io/integrations/builtin/credentials/coda,74,False,[],0,False
Smartsheet,Productivity and Project Management,The Smartsheet API enables you to programmatically access and manage your organization's Smartsheet resources.,API token,API token,Paid Plan,REST,Medium,Unknown,Yes,,"https://developers.smartsheet.com/api/smartsheet/introduction, https://developers.smartsheet.com/api/smartsheet/guides/getting-started, https://developers.smartsheet.com/api/smartsheet/openapi/tokens",87,False,[],0,False
